;Sequence name;Start;End;Region Type;Region Length
76;TcDm28c_04;7802;79201;Disruptive;71400
77;TcDm28c_04;79202;105901;Core;26700
78;TcDm28c_04;105902;125101;Disruptive;19200
79;TcDm28c_04;125102;253801;Core;128700
80;TcDm28c_04;253802;371701;Disruptive;117900
81;TcDm28c_04;371702;390301;Core;18600
82;TcDm28c_04;390302;650401;Disruptive;260100
83;TcDm28c_04;650402;685201;Core;34800
84;TcDm28c_04;685202;1089901;Disruptive;404700
85;TcDm28c_04;1089902;1116001;Core;26100
86;TcDm28c_04;1116002;1155901;Disruptive;39900
87;TcDm28c_04;1155902;1240501;Core;84600
88;TcDm28c_04;1240502;1447801;Disruptive;207300
89;TcDm28c_04;1447802;1499101;Core;51300
90;TcDm28c_04;1499102;1511701;Disruptive;12600
91;TcDm28c_04;1511702;1627201;Core;115500
92;TcDm28c_04;1627202;1681801;Disruptive;54600
93;TcDm28c_04;1681802;1689901;Core;8100
94;TcDm28c_04;1689902;1731301;Disruptive;41400
95;TcDm28c_04;1731302;1735261;Core;3960
96;TcDm28c_05;1;8101;Core;8101
97;TcDm28c_05;8102;55801;Disruptive;47700
98;TcDm28c_05;55802;79801;Core;24000
99;TcDm28c_05;79802;92101;Disruptive;12300
100;TcDm28c_05;92102;344701;Core;252600
101;TcDm28c_05;344702;365401;Disruptive;20700
102;TcDm28c_05;365402;613201;Core;247800
103;TcDm28c_05;613202;630301;Disruptive;17100
104;TcDm28c_05;630302;978901;Core;348600
105;TcDm28c_05;978902;998401;Disruptive;19500
106;TcDm28c_05;998402;1122301;Core;123900
107;TcDm28c_05;1122302;1361401;Disruptive;239100
108;TcDm28c_05;1361402;1417501;Core;56100
109;TcDm28c_05;1417502;1428301;Disruptive;10800
110;TcDm28c_05;1428302;1610701;Core;182400
111;TcDm28c_06;1;286501;Core;286501
112;TcDm28c_06;286502;288601;Disruptive;2100
113;TcDm28c_06;288602;291901;Core;3300
114;TcDm28c_06;291902;334501;Disruptive;42600
115;TcDm28c_06;334502;396601;Core;62100
116;TcDm28c_06;396602;683701;Disruptive;287100
117;TcDm28c_06;683702;789901;Core;106200
118;TcDm28c_06;789902;1336801;Disruptive;546900
119;TcDm28c_06;1336802;1360201;Core;23400
120;TcDm28c_06;1360202;1418701;Disruptive;58500
121;TcDm28c_06;1418702;1439101;Core;20400
122;TcDm28c_06;1439102;1486201;Disruptive;47100
123;TcDm28c_06;1486202;1492875;Core;6674
124;TcDm28c_07;1;4801;Core;4801
125;TcDm28c_07;4802;33301;Disruptive;28500
126;TcDm28c_07;33302;72001;Core;38700
127;TcDm28c_07;72002;151201;Disruptive;79200
128;TcDm28c_07;151202;188701;Core;37500
129;TcDm28c_07;188702;228301;Disruptive;39600
130;TcDm28c_07;228302;272701;Core;44400
131;TcDm28c_07;272702;315901;Disruptive;43200
132;TcDm28c_07;315902;382201;Core;66300
133;TcDm28c_07;382202;406801;Disruptive;24600
134;TcDm28c_07;406802;476401;Core;69600
135;TcDm28c_07;476402;532501;Disruptive;56100
136;TcDm28c_07;532502;560701;Core;28200
137;TcDm28c_07;560702;686701;Disruptive;126000
138;TcDm28c_07;686702;786301;Core;99600
139;TcDm28c_07;786302;1263601;Disruptive;477300
140;TcDm28c_07;1263602;1281601;Core;18000
141;TcDm28c_07;1281602;1490547;Disruptive;208946
142;TcDm28c_08;1;6601;Core;6601
143;TcDm28c_08;6602;50401;Disruptive;43800
144;TcDm28c_08;50402;91501;Core;41100
145;TcDm28c_08;91502;293401;Disruptive;201900
146;TcDm28c_08;293402;346201;Core;52800
147;TcDm28c_08;346202;377101;Disruptive;30900
148;TcDm28c_08;377102;393901;Core;16800
149;TcDm28c_08;393902;404701;Disruptive;10800
150;TcDm28c_08;404702;442201;Core;37500
151;TcDm28c_08;442202;491401;Disruptive;49200
152;TcDm28c_08;491402;504301;Core;12900
153;TcDm28c_08;504302;510001;Disruptive;5700
154;TcDm28c_08;510002;542701;Core;32700
155;TcDm28c_08;542702;558901;Disruptive;16200
156;TcDm28c_08;558902;580501;Core;21600
157;TcDm28c_08;580502;587401;Disruptive;6900
158;TcDm28c_08;587402;691501;Core;104100
159;TcDm28c_08;691502;707101;Disruptive;15600
160;TcDm28c_08;707102;1005301;Core;298200
161;TcDm28c_08;1005302;1035001;Disruptive;29700
162;TcDm28c_08;1035002;1066501;Core;31500
163;TcDm28c_08;1066502;1118101;Disruptive;51600
164;TcDm28c_08;1118102;1173301;Core;55200
165;TcDm28c_08;1173302;1197901;Disruptive;24600
166;TcDm28c_08;1197902;1367401;Core;169500
167;TcDm28c_08;1367402;1401901;Disruptive;34500
168;TcDm28c_08;1401902;1436163;Core;34262
169;TcDm28c_09;1;6901;Disruptive;6901
170;TcDm28c_09;6902;30301;Core;23400
171;TcDm28c_09;30302;58501;Disruptive;28200
172;TcDm28c_09;58502;289501;Core;231000
173;TcDm28c_09;289502;332701;Disruptive;43200
174;TcDm28c_09;332702;491701;Core;159000
175;TcDm28c_09;491702;514801;Disruptive;23100
176;TcDm28c_09;514802;569701;Core;54900
177;TcDm28c_09;569702;681601;Disruptive;111900
178;TcDm28c_09;681602;699301;Core;17700
179;TcDm28c_09;699302;749701;Disruptive;50400
180;TcDm28c_09;749702;757501;Core;7800
181;TcDm28c_09;757502;780601;Disruptive;23100
182;TcDm28c_09;780602;789001;Core;8400
183;TcDm28c_09;789002;804601;Disruptive;15600
184;TcDm28c_09;804602;818101;Core;13500
185;TcDm28c_09;818102;890701;Disruptive;72600
186;TcDm28c_09;890702;956701;Core;66000
187;TcDm28c_09;956702;1033801;Disruptive;77100
188;TcDm28c_09;1033802;1110001;Core;76200
189;TcDm28c_09;1110002;1130701;Disruptive;20700
190;TcDm28c_09;1130702;1139701;Core;9000
191;TcDm28c_09;1139702;1178101;Disruptive;38400
192;TcDm28c_09;1178102;1187101;Core;9000
193;TcDm28c_09;1187102;1194001;Disruptive;6900
194;TcDm28c_09;1194002;1255501;Core;61500
195;TcDm28c_09;1255502;1284901;Disruptive;29400
196;TcDm28c_09;1284902;1308001;Core;23100
197;TcDm28c_09;1308002;1311901;Disruptive;3900
198;TcDm28c_09;1311902;1333201;Core;21300
199;TcDm28c_09;1333202;1362301;Disruptive;29100
200;TcDm28c_09;1362302;1394401;Core;32100
201;TcDm28c_09;1394402;1394721;Disruptive;320
202;TcDm28c_10;1;9301;Core;9301
203;TcDm28c_10;9302;33301;Disruptive;24000
204;TcDm28c_10;33302;233101;Core;199800
205;TcDm28c_10;233102;266701;Disruptive;33600
206;TcDm28c_10;266702;330001;Core;63300
207;TcDm28c_10;330002;383401;Disruptive;53400
208;TcDm28c_10;383402;466801;Core;83400
209;TcDm28c_10;466802;626101;Disruptive;159300
210;TcDm28c_10;626102;643801;Core;17700
211;TcDm28c_10;643802;1123801;Disruptive;480000
212;TcDm28c_10;1123802;1172101;Core;48300
213;TcDm28c_10;1172102;1351501;Disruptive;179400
214;TcDm28c_10;1351502;1361090;Core;9589
215;TcDm28c_11;1;20101;Disruptive;20101
216;TcDm28c_11;20102;61501;Core;41400
217;TcDm28c_11;61502;109501;Disruptive;48000
218;TcDm28c_11;109502;197701;Core;88200
219;TcDm28c_11;197702;283801;Disruptive;86100
220;TcDm28c_11;283802;313501;Core;29700
221;TcDm28c_11;313502;356401;Disruptive;42900
222;TcDm28c_11;356402;382201;Core;25800
223;TcDm28c_11;382202;393901;Disruptive;11700
224;TcDm28c_11;393902;494401;Core;100500
225;TcDm28c_11;494402;526201;Disruptive;31800
226;TcDm28c_11;526202;697801;Core;171600
227;TcDm28c_11;697802;723601;Disruptive;25800
228;TcDm28c_11;723602;906301;Core;182700
229;TcDm28c_11;906302;969301;Disruptive;63000
230;TcDm28c_11;969302;992101;Core;22800
231;TcDm28c_11;992102;1056001;Disruptive;63900
232;TcDm28c_11;1056002;1064401;Core;8400
233;TcDm28c_11;1064402;1179901;Disruptive;115500
234;TcDm28c_11;1179902;1261511;Core;81610
235;TcDm28c_12;1;22201;Core;22201
236;TcDm28c_12;22202;67801;Disruptive;45600
237;TcDm28c_12;67802;87301;Core;19500
238;TcDm28c_12;87302;505501;Disruptive;418200
239;TcDm28c_12;505502;517801;Core;12300
240;TcDm28c_12;517802;594601;Disruptive;76800
241;TcDm28c_12;594602;658501;Core;63900
242;TcDm28c_12;658502;681301;Disruptive;22800
243;TcDm28c_12;681302;698101;Core;16800
244;TcDm28c_12;698102;744301;Disruptive;46200
245;TcDm28c_12;744302;808501;Core;64200
246;TcDm28c_12;808502;836401;Disruptive;27900
247;TcDm28c_12;836402;955201;Core;118800
248;TcDm28c_12;955202;974701;Disruptive;19500
249;TcDm28c_12;974702;998401;Core;23700
250;TcDm28c_12;998402;1009201;Disruptive;10800
251;TcDm28c_12;1009202;1059301;Core;50100
252;TcDm28c_12;1059302;1191301;Disruptive;132000
253;TcDm28c_12;1191302;1210501;Core;19200
254;TcDm28c_12;1210502;1237201;Disruptive;26700
255;TcDm28c_12;1237202;1250845;Core;13644
256;TcDm28c_13;1;6601;Core;6601
257;TcDm28c_13;6602;17101;Disruptive;10500
258;TcDm28c_13;17102;42901;Core;25800
259;TcDm28c_13;42902;51301;Disruptive;8400
260;TcDm28c_13;51302;122101;Core;70800
261;TcDm28c_13;122102;147001;Disruptive;24900
262;TcDm28c_13;147002;230401;Core;83400
263;TcDm28c_13;230402;235801;Disruptive;5400
264;TcDm28c_13;235802;283801;Core;48000
265;TcDm28c_13;283802;310201;Disruptive;26400
266;TcDm28c_13;310202;346501;Core;36300
267;TcDm28c_13;346502;399601;Disruptive;53100
268;TcDm28c_13;399602;416701;Core;17100
269;TcDm28c_13;416702;445801;Disruptive;29100
270;TcDm28c_13;445802;498901;Core;53100
271;TcDm28c_13;498902;542701;Disruptive;43800
272;TcDm28c_13;542702;736501;Core;193800
273;TcDm28c_13;736502;763501;Disruptive;27000
274;TcDm28c_13;763502;787501;Core;24000
275;TcDm28c_13;787502;849601;Disruptive;62100
276;TcDm28c_13;849602;895501;Core;45900
277;TcDm28c_13;895502;955501;Disruptive;60000
278;TcDm28c_13;955502;1046101;Core;90600
279;TcDm28c_13;1046102;1122001;Disruptive;75900
280;TcDm28c_13;1122002;1149901;Core;27900
281;TcDm28c_13;1149902;1190101;Disruptive;40200
282;TcDm28c_13;1190102;1200139;Core;10038
283;TcDm28c_14;1;4801;Disruptive;4801
284;TcDm28c_14;4802;90601;Core;85800
285;TcDm28c_14;90602;205801;Disruptive;115200
286;TcDm28c_14;205802;225001;Core;19200
287;TcDm28c_14;225002;390601;Disruptive;165600
288;TcDm28c_14;390602;413401;Core;22800
289;TcDm28c_14;413402;423001;Disruptive;9600
290;TcDm28c_14;423002;436801;Core;13800
291;TcDm28c_14;436802;449101;Disruptive;12300
292;TcDm28c_14;449102;587701;Core;138600
293;TcDm28c_14;587702;758401;Disruptive;170700
294;TcDm28c_14;758402;792001;Core;33600
295;TcDm28c_14;792002;855001;Disruptive;63000
296;TcDm28c_14;855002;877201;Core;22200
297;TcDm28c_14;877202;893101;Disruptive;15900
298;TcDm28c_14;893102;1018201;Core;125100
299;TcDm28c_14;1018202;1111135;Disruptive;92934
300;TcDm28c_15;1;7201;Core;7201
301;TcDm28c_15;7202;93901;Disruptive;86700
302;TcDm28c_15;93902;114901;Core;21000
303;TcDm28c_15;114902;171301;Disruptive;56400
304;TcDm28c_15;171302;202201;Core;30900
305;TcDm28c_15;202202;218701;Disruptive;16500
306;TcDm28c_15;218702;230401;Core;11700
307;TcDm28c_15;230402;240901;Disruptive;10500
308;TcDm28c_15;240902;330301;Core;89400
309;TcDm28c_15;330302;347401;Disruptive;17100
310;TcDm28c_15;347402;576601;Core;229200
311;TcDm28c_15;576602;607801;Disruptive;31200
312;TcDm28c_15;607802;1100401;Core;492600
313;TcDm28c_15;1100402;1100981;Disruptive;580
314;TcDm28c_16;1;3901;Core;3901
315;TcDm28c_16;3902;39901;Disruptive;36000
316;TcDm28c_16;39902;45001;Core;5100
317;TcDm28c_16;45002;95701;Disruptive;50700
318;TcDm28c_16;95702;108001;Core;12300
319;TcDm28c_16;108002;130501;Disruptive;22500
320;TcDm28c_16;130502;195001;Core;64500
321;TcDm28c_16;195002;234601;Disruptive;39600
322;TcDm28c_16;234602;275701;Core;41100
323;TcDm28c_16;275702;396901;Disruptive;121200
324;TcDm28c_16;396902;420601;Core;23700
325;TcDm28c_16;420602;438901;Disruptive;18300
326;TcDm28c_16;438902;460201;Core;21300
327;TcDm28c_16;460202;519901;Disruptive;59700
328;TcDm28c_16;519902;558601;Core;38700
329;TcDm28c_16;558602;561901;Disruptive;3300
330;TcDm28c_16;561902;575701;Core;13800
331;TcDm28c_16;575702;781201;Disruptive;205500
332;TcDm28c_16;781202;793201;Core;12000
333;TcDm28c_16;793202;1003801;Disruptive;210600
334;TcDm28c_16;1003802;1028401;Core;24600
335;TcDm28c_16;1028402;1071601;Disruptive;43200
336;TcDm28c_16;1071602;1084488;Core;12887
337;TcDm28c_17;1;18301;Core;18301
338;TcDm28c_17;18302;45901;Disruptive;27600
339;TcDm28c_17;45902;69901;Core;24000
340;TcDm28c_17;69902;174001;Disruptive;104100
341;TcDm28c_17;174002;336901;Core;162900
342;TcDm28c_17;336902;381001;Disruptive;44100
343;TcDm28c_17;381002;435601;Core;54600
344;TcDm28c_17;435602;454201;Disruptive;18600
345;TcDm28c_17;454202;519301;Core;65100
346;TcDm28c_17;519302;555001;Disruptive;35700
347;TcDm28c_17;555002;606601;Core;51600
348;TcDm28c_17;606602;921601;Disruptive;315000
349;TcDm28c_17;921602;952201;Core;30600
350;TcDm28c_17;952202;996901;Disruptive;44700
351;TcDm28c_17;996902;1002814;Core;5913
352;TcDm28c_18;1;40201;Core;40201
353;TcDm28c_18;40202;55801;Disruptive;15600
354;TcDm28c_18;55802;64801;Core;9000
355;TcDm28c_18;64802;83401;Disruptive;18600
356;TcDm28c_18;83402;104701;Core;21300
357;TcDm28c_18;104702;178501;Disruptive;73800
358;TcDm28c_18;178502;200701;Core;22200
359;TcDm28c_18;200702;234001;Disruptive;33300
360;TcDm28c_18;234002;242401;Core;8400
361;TcDm28c_18;242402;251701;Disruptive;9300
362;TcDm28c_18;251702;312601;Core;60900
363;TcDm28c_18;312602;329701;Disruptive;17100
364;TcDm28c_18;329702;349801;Core;20100
365;TcDm28c_18;349802;357001;Disruptive;7200
366;TcDm28c_18;357002;498001;Core;141000
367;TcDm28c_18;498002;522601;Disruptive;24600
368;TcDm28c_18;522602;558601;Core;36000
369;TcDm28c_18;558602;596101;Disruptive;37500
370;TcDm28c_18;596102;649501;Core;53400
371;TcDm28c_18;649502;705601;Disruptive;56100
372;TcDm28c_18;705602;718801;Core;13200
373;TcDm28c_18;718802;732001;Disruptive;13200
374;TcDm28c_18;732002;753901;Core;21900
375;TcDm28c_18;753902;759901;Disruptive;6000
376;TcDm28c_18;759902;834601;Core;74700
377;TcDm28c_18;834602;870901;Disruptive;36300
378;TcDm28c_18;870902;965874;Core;94973
379;TcDm28c_19;1;533101;Core;533101
380;TcDm28c_19;533102;601201;Disruptive;68100
381;TcDm28c_19;601202;773101;Core;171900
382;TcDm28c_19;773102;823201;Disruptive;50100
383;TcDm28c_19;823202;832801;Core;9600
384;TcDm28c_19;832802;871801;Disruptive;39000
385;TcDm28c_19;871802;909601;Core;37800
386;TcDm28c_19;909602;933234;Disruptive;23633
387;TcDm28c_20;1;11101;Core;11101
388;TcDm28c_20;11102;76501;Disruptive;65400
389;TcDm28c_20;76502;235501;Core;159000
390;TcDm28c_20;235502;264001;Disruptive;28500
391;TcDm28c_20;264002;272401;Core;8400
392;TcDm28c_20;272402;354001;Disruptive;81600
393;TcDm28c_20;354002;362401;Core;8400
394;TcDm28c_20;362402;370501;Disruptive;8100
395;TcDm28c_20;370502;398401;Core;27900
396;TcDm28c_20;398402;425701;Disruptive;27300
397;TcDm28c_20;425702;438301;Core;12600
398;TcDm28c_20;438302;466201;Disruptive;27900
399;TcDm28c_20;466202;539101;Core;72900
400;TcDm28c_20;539102;782401;Disruptive;243300
401;TcDm28c_20;782402;821701;Core;39300
402;TcDm28c_20;821702;900601;Disruptive;78900
403;TcDm28c_20;900602;903723;Core;3122
404;TcDm28c_21;1;1201;Core;1201
405;TcDm28c_21;1202;53401;Disruptive;52200
406;TcDm28c_21;53402;56701;Core;3300
407;TcDm28c_21;56702;106801;Disruptive;50100
408;TcDm28c_21;106802;167701;Core;60900
409;TcDm28c_21;167702;170701;Disruptive;3000
410;TcDm28c_21;170702;182401;Core;11700
411;TcDm28c_21;182402;210601;Disruptive;28200
412;TcDm28c_21;210602;247801;Core;37200
413;TcDm28c_21;247802;294601;Disruptive;46800
414;TcDm28c_21;294602;308401;Core;13800
415;TcDm28c_21;308402;327001;Disruptive;18600
416;TcDm28c_21;327002;346501;Core;19500
417;TcDm28c_21;346502;410401;Disruptive;63900
418;TcDm28c_21;410402;435301;Core;24900
419;TcDm28c_21;435302;502801;Disruptive;67500
420;TcDm28c_21;502802;524401;Core;21600
421;TcDm28c_21;524402;643501;Disruptive;119100
422;TcDm28c_21;643502;702601;Core;59100
423;TcDm28c_21;702602;710401;Disruptive;7800
424;TcDm28c_21;710402;753601;Core;43200
425;TcDm28c_21;753602;756001;Disruptive;2400
426;TcDm28c_21;756002;810301;Core;54300
427;TcDm28c_21;810302;876001;Disruptive;65700
428;TcDm28c_21;876002;883590;Core;7589
429;TcDm28c_22;1;601;Core;601
430;TcDm28c_22;602;43801;Disruptive;43200
431;TcDm28c_22;43802;105901;Core;62100
432;TcDm28c_22;105902;111601;Disruptive;5700
433;TcDm28c_22;111602;132901;Core;21300
434;TcDm28c_22;132902;253501;Disruptive;120600
435;TcDm28c_22;253502;393901;Core;140400
436;TcDm28c_22;393902;407101;Disruptive;13200
437;TcDm28c_22;407102;487501;Core;80400
438;TcDm28c_22;487502;539701;Disruptive;52200
439;TcDm28c_22;539702;611701;Core;72000
440;TcDm28c_22;611702;621901;Disruptive;10200
441;TcDm28c_22;621902;642601;Core;20700
442;TcDm28c_22;642602;758701;Disruptive;116100
443;TcDm28c_22;758702;776101;Core;17400
444;TcDm28c_22;776102;848701;Disruptive;72600
445;TcDm28c_22;848702;849045;Core;344
446;TcDm28c_23;1;5401;Core;5401
447;TcDm28c_23;5402;137701;Disruptive;132300
448;TcDm28c_23;137702;165301;Core;27600
449;TcDm28c_23;165302;570001;Disruptive;404700
450;TcDm28c_23;570002;601201;Core;31200
451;TcDm28c_23;601202;619501;Disruptive;18300
452;TcDm28c_23;619502;664201;Core;44700
453;TcDm28c_23;664202;693901;Disruptive;29700
454;TcDm28c_23;693902;726001;Core;32100
455;TcDm28c_23;726002;738301;Disruptive;12300
456;TcDm28c_23;738302;748801;Core;10500
457;TcDm28c_23;748802;840601;Disruptive;91800
458;TcDm28c_23;840602;843191;Core;2590
459;TcDm28c_24;1;30601;Core;30601
460;TcDm28c_24;30602;43201;Disruptive;12600
461;TcDm28c_24;43202;52801;Core;9600
462;TcDm28c_24;52802;71401;Disruptive;18600
463;TcDm28c_24;71402;114601;Core;43200
464;TcDm28c_24;114602;156301;Disruptive;41700
465;TcDm28c_24;156302;192001;Core;35700
466;TcDm28c_24;192002;261301;Disruptive;69300
467;TcDm28c_24;261302;266701;Core;5400
468;TcDm28c_24;266702;301201;Disruptive;34500
469;TcDm28c_24;301202;325501;Core;24300
470;TcDm28c_24;325502;346801;Disruptive;21300
471;TcDm28c_24;346802;354301;Core;7500
472;TcDm28c_24;354302;367801;Disruptive;13500
473;TcDm28c_24;367802;381001;Core;13200
474;TcDm28c_24;381002;458101;Disruptive;77100
475;TcDm28c_24;458102;485701;Core;27600
476;TcDm28c_24;485702;528601;Disruptive;42900
477;TcDm28c_24;528602;532501;Core;3900
478;TcDm28c_24;532502;570301;Disruptive;37800
479;TcDm28c_24;570302;618301;Core;48000
480;TcDm28c_24;618302;646201;Disruptive;27900
481;TcDm28c_24;646202;711301;Core;65100
482;TcDm28c_24;711302;738301;Disruptive;27000
483;TcDm28c_24;738302;746401;Core;8100
484;TcDm28c_24;746402;800401;Disruptive;54000
485;TcDm28c_24;800402;811364;Core;10963
486;TcDm28c_25;1;6601;Disruptive;6601
487;TcDm28c_25;6602;28501;Core;21900
488;TcDm28c_25;28502;212101;Disruptive;183600
489;TcDm28c_25;212102;248701;Core;36600
490;TcDm28c_25;248702;255001;Disruptive;6300
491;TcDm28c_25;255002;291301;Core;36300
492;TcDm28c_25;291302;298801;Disruptive;7500
493;TcDm28c_25;298802;315001;Core;16200
494;TcDm28c_25;315002;330001;Disruptive;15000
495;TcDm28c_25;330002;356401;Core;26400
496;TcDm28c_25;356402;363901;Disruptive;7500
497;TcDm28c_25;363902;389101;Core;25200
498;TcDm28c_25;389102;426601;Disruptive;37500
499;TcDm28c_25;426602;435601;Core;9000
500;TcDm28c_25;435602;600301;Disruptive;164700
501;TcDm28c_25;600302;641701;Core;41400
502;TcDm28c_25;641702;671853;Disruptive;30152
503;TcDm28c_26;1;6301;Core;6301
504;TcDm28c_26;6302;87301;Disruptive;81000
505;TcDm28c_26;87302;127501;Core;40200
506;TcDm28c_26;127502;165001;Disruptive;37500
507;TcDm28c_26;165002;177601;Core;12600
508;TcDm28c_26;177602;189001;Disruptive;11400
509;TcDm28c_26;189002;218401;Core;29400
510;TcDm28c_26;218402;231001;Disruptive;12600
511;TcDm28c_26;231002;246301;Core;15300
512;TcDm28c_26;246302;309301;Disruptive;63000
513;TcDm28c_26;309302;325201;Core;15900
514;TcDm28c_26;325202;650701;Disruptive;325500
515;TcDm28c_26;650702;663682;Core;12981
516;TcDm28c_27;1;27601;Core;27601
517;TcDm28c_27;27602;31201;Disruptive;3600
518;TcDm28c_27;31202;123301;Core;92100
519;TcDm28c_27;123302;179701;Disruptive;56400
520;TcDm28c_27;179702;283201;Core;103500
521;TcDm28c_27;283202;341701;Disruptive;58500
522;TcDm28c_27;341702;379201;Core;37500
523;TcDm28c_27;379202;464401;Disruptive;85200
524;TcDm28c_27;464402;510301;Core;45900
525;TcDm28c_27;510302;645001;Disruptive;134700
526;TcDm28c_27;645002;653362;Core;8361
527;TcDm28c_28;1;3001;Core;3001
528;TcDm28c_28;3002;68701;Disruptive;65700
529;TcDm28c_28;68702;283201;Core;214500
530;TcDm28c_28;283202;292201;Disruptive;9000
531;TcDm28c_28;292202;352801;Core;60600
532;TcDm28c_28;352802;385201;Disruptive;32400
533;TcDm28c_28;385202;406501;Core;21300
534;TcDm28c_28;406502;572101;Disruptive;165600
535;TcDm28c_28;572102;614808;Core;42707
536;TcDm28c_29;1;1201;Core;1201
537;TcDm28c_29;1202;82201;Disruptive;81000
538;TcDm28c_29;82202;136201;Core;54000
539;TcDm28c_29;136202;227401;Disruptive;91200
540;TcDm28c_29;227402;241501;Core;14100
541;TcDm28c_29;241502;260401;Disruptive;18900
542;TcDm28c_29;260402;296101;Core;35700
543;TcDm28c_29;296102;383401;Disruptive;87300
544;TcDm28c_29;383402;515701;Core;132300
545;TcDm28c_29;515702;589501;Disruptive;73800
546;TcDm28c_29;589502;599670;Core;10169
547;TcDm28c_30;1;1801;Core;1801
548;TcDm28c_30;1802;36601;Disruptive;34800
549;TcDm28c_30;36602;74701;Core;38100
550;TcDm28c_30;74702;121501;Disruptive;46800
551;TcDm28c_30;121502;170401;Core;48900
552;TcDm28c_30;170402;326101;Disruptive;155700
553;TcDm28c_30;326102;337801;Core;11700
554;TcDm28c_30;337802;587101;Disruptive;249300
555;TcDm28c_30;587102;588781;Core;1680
556;TcDm28c_31;1;15901;Core;15901
557;TcDm28c_31;15902;53701;Disruptive;37800
558;TcDm28c_31;53702;231901;Core;178200
559;TcDm28c_31;231902;288001;Disruptive;56100
560;TcDm28c_31;288002;307501;Core;19500
561;TcDm28c_31;307502;367801;Disruptive;60300
562;TcDm28c_31;367802;417301;Core;49500
